lon,lat
171.9213,-42.9534
-155.460333333333,19.4933333333333
-104.2946085,31.68779444
-151.8221,61.6788
-122.7693333,38.8008333
-151.3481,62.6915
38.4732,-22.929
-150.4002,63.1124
-169.7176,52.4676
-122.7088318,38.767334
-152.1527,61.0046
-105.1911,43.567
136.1235,43.2327
126.666,2.71
156.374,60.0891
44.8139,38.5153
-151.1659,62.8082
-116.8088333,33.5893333
-67.2579,-22.0773
-150.6221,63.0633
-152.1143,60.3558
-104.4046172,31.64759652
-150.9772,61.4725
-121.7485,37.3485
-151.4883,63.1061
-122.7858333,38.7863333
-155.482162475586,19.1628341674805
126.6496,2.6589
-150.276,63.4929
-122.728,38.7593333
-149.2564,61.4832
126.1501,5.4659
-118.3866667,35.5073333
-177.5413,51.6591
126.9433,2.8491
-122.8178333,38.8033333
-151.9355,61.2688
-112.9461667,37.1826667
-112.9463333,37.1783333
-151.4525,62.2212
-111.0905,44.7411667
-153.0347,59.2995
-167.9211,53.2569
-117.5393333,35.653
-155.359666666667,58.1691666666667
-152.5336,59.9143
-69.9049,19.2312
-117.6146667,35.727
-140.6964,61.5164
-169.5236,53.0861
-117.6853333,35.8918333
-117.7826667,36.0246667
-149.6343,62.9264
125.8558,10.0711
-151.3896,60.9568
-146.9192,61.2111
-164.0716,54.0858
-155.403335571289,19.3929996490479
-139.4795,60.0286
-155.433334350586,19.253833770752
127.0656,2.8623
-66.9223333333333,17.9511666666667
-39.4443,8.5903
-39.4174,8.6633
179.8418,-19.3608
-162.8755,54.2179
-153.2633,59.9342
44.717,38.5594
-146.2602,61.577
-152.8056,59.9347
-122.794,38.829
-122.795,38.8301667
-152.1145,58.9568
-163.4974,54.0027
35.7431,35.7692
126.9662,2.8896
-149.8204,62.6651
-179.1139,-21.9762
-122.7815018,38.8040009
-122.8153305,38.8338318
-122.8141667,38.8321667
-118.899,33.9805
-139.7177,60.2439
-179.2189,51.5411
-122.8158333,38.8325
-159.777,54.4901
-122.7799988,38.8183327
-66.5081666666667,17.8185
-115.6018333,33.1308333
-151.938,59.653
-146.4884,61.5058
-146.3204,61.6013
126.9938,2.9047
44.7507,38.4819
-177.157333333333,51.9486666666667
-158.5341,55.1753
-39.377,8.571
-146.5314,61.444
-149.5407,57.0331
164.4829,-11.202
44.8693,38.4906
-118.8112,38.0369
-146.7494,61.2924
-151.8014,61.4039
-122.8891667,39.3886667
127.0706,2.7289
-151.3508,63.2828
-121.587,36.8591667
-122.7416687,38.7739983
-173.9587,51.7147
-153.7085,59.3185
-151.1651,58.9057
-121.2563333,36.6483333
-148.4836,63.815
-150.803,63.2287
-156.2275,56.5439
-147.6697,61.2826
139.2937,35.3532
-155.452833333333,19.2253333333333
-151.294,62.9228
-135.9749,66.7122
-155.408493041992,19.1000003814697
-155.407333374023,19.2348327636719
-151.4591,62.5088
-122.824,38.843
-150.9048,63.5161
-151.0162,62.5883
-149.6963,62.8497
-152.8634,59.9907
-147.6552,61.2698
-116.2278333,32.9293333
-116.2266667,32.928
-151.4872,62.2542
-146.5879,61.1838
-155.383666992188,19.2063331604004
-117.9721,37.1039
-152.0445,61.8029
-148.2231,63.6082
-166.972,53.1399
-150.6525,59.654
-151.4811,61.4081
-68.8901,17.1332
-151.0445,60.6058
-155.4755,19.1636666666667
-117.959,34.4595
-117.8242,38.1837
-122.7605,38.7916667
-155.6576,57.7437
-122.7133333,38.7768333
-144.3805,69.5143
-153.0411,59.8431
-116.7001,37.4711
-67.2011,18.9213
-119.3083333,34.4366667
-178.2122,51.4764
-122.7646637,38.7960014
-153.2115,59.7827
-159.9108,54.5524
72.8907,33.5931
-148.7593,59.7127
-150.9798,60.9319
-119.2766667,34.4315
-149.6529,63.0392
-155.471328735352,19.1708335876465
-147.2285,60.2538
-115.6046667,33.1258333
-166.4965,67.4725
-147.6536,63.1704
-151.9062,60.0051
-150.088,61.3396
